Sort algorithm time record(Millisecond):,,,,,,,,,,,
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
23000,1.1189,1.1808,1.9279,1.296,1.6971,1.8966,2.4364,2.1623,,,
23100,1.0854,1.2478,1.7201,1.3484,1.6972,1.6138,2.2688,2.2626,,,
23200,1.1108,1.2525,1.9152,1.3016,1.2361,1.5579,2.3978,2.2455,,,
23300,1.11,1.1682,1.6858,1.2871,1.2336,1.6806,2.8008,2.3921,,,
23400,1.2396,1.256,1.6299,1.2834,1.2326,1.5826,2.5035,2.0541,,,
23500,1.0081,1.0918,1.8291,1.4289,1.2914,1.8346,2.7392,2.0901,,,
23600,1.2711,1.3475,2.2987,1.3802,1.3091,1.8079,2.8027,2.2513,,,
23700,1.2227,1.1922,1.7045,1.3793,1.498,2.0283,2.5017,2.2705,,,
23800,1.2256,1.116,2.1816,1.2651,1.2806,1.6917,2.6383,2.5335,,,
23900,0.9965,1.3518,1.7528,1.381,1.512,1.9036,2.5571,2.3178,,,
24000,0.9843,1.0587,1.823,1.3675,1.2312,1.627,2.4928,2.37,,,
24100,1.336,1.2615,1.784,1.2659,1.4582,1.8933,2.4351,2.3382,,,
24200,1.087,1.2076,1.735,1.2621,1.4309,1.8524,2.5741,2.4118,,,
24300,0.975,1.2186,1.8338,1.4674,1.3263,1.7337,2.582,2.3918,,,
24400,1.0848,1.1062,1.7194,1.4569,1.5838,1.9866,2.4688,2.4063,,,
24500,0.9771,1.1357,1.8525,1.5902,1.5557,1.9703,3.0756,2.1152,,,
24600,1.07,1.1175,1.7502,1.3084,1.3885,1.8402,2.5618,2.5109,,,
24700,1.0227,1.216,1.9241,1.3592,1.4825,1.7444,2.7874,2.3143,,,
24800,1.0597,1.2637,2.1221,1.5654,1.626,2.0309,3.0653,2.6274,,,
24900,1.3466,1.2995,2.1614,1.5156,1.5893,2.8415,2.7454,2.4518,,,
25000,1.4052,1.6447,2.0968,1.5732,1.4918,1.9084,2.7856,2.5966,,,
25100,1.0122,1.1798,1.8592,1.318,1.3359,1.9029,2.6777,2.397,,,
25200,1.0733,1.263,1.8598,1.5001,1.3478,1.9084,2.6969,2.2076,,,
25300,1.1009,1.4352,1.8813,1.3472,1.3277,1.7399,2.6234,2.5401,,,
25400,1.1757,1.4598,1.8298,1.3048,1.3604,1.8846,2.6489,2.267,,,
25500,1.2672,1.3159,2.0664,1.4533,1.4333,1.7812,2.6434,2.3749,,,
25600,1.1838,1.3351,1.8847,1.5173,1.4848,1.7095,2.9091,2.4821,,,
25700,1.9683,1.812,2.388,1.7947,1.8899,2.2544,3.3249,3.1089,,,
25800,1.142,1.3017,2.2021,1.475,1.2922,1.7499,2.6217,2.4054,,,
25900,1.0751,1.4943,1.8989,1.3669,1.4406,1.8342,2.7427,2.2911,,,
26000,1.0672,1.2425,2.1456,1.5244,1.6266,2.0118,3.1177,2.2892,,,
26100,1.307,1.3286,2.0102,1.4953,1.7134,1.7821,2.6068,2.7366,,,
26200,1.3468,1.3004,1.8994,1.5278,1.5372,2.0655,3.2134,2.7073,,,
26300,1.2342,1.3102,2.2159,1.6774,1.3567,1.8771,2.9591,2.3937,,,
26400,1.1302,1.2674,2.0646,1.4295,1.3778,1.9196,2.8342,2.4642,,,
26500,1.3714,1.3343,1.9787,1.6011,1.4492,2.0152,3.0113,2.6425,,,
26600,1.2533,1.3358,2.1386,1.8375,1.4878,1.9475,2.8021,2.5276,,,
26700,1.0885,1.2938,1.8753,1.4862,1.4655,1.9254,3.0886,2.9998,,,
